year,type,discipline,event,noc,medal
1924,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1924,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Silver
1912,Summer,Tennis,"Doubles, Mixed (Olympic)",FRA,Bronze
1912,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
2000,Summer,Table Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1924,Summer,Tennis,"Singles, Men (Olympic)",FRA,Silver
1900,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1900,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Silver
1920,Summer,Tennis,"Doubles, Mixed (Olympic)",FRA,Gold
1920,Summer,Tennis,"Doubles, Men (Olympic)",FRA,Bronze
1992,Summer,Table Tennis,"Singles, Men (Olympic)",FRA,Silver
1912,Summer,Tennis,"Doubles, Covered Courts, Men (Olympic)",FRA,Gold
1912,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",FRA,Gold
1912,Summer,Tennis,"Doubles, Covered Courts, Mixed (Olympic)",GBR,Silver
1920,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Silver
1924,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Bronze
1900,Summer,Tennis,"Singles, Women (Olympic)",GBR,Gold
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Gold
1924,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Gold
1908,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Silver
1912,Summer,Tennis,"Doubles, Covered Courts, Mixed (Olympic)",GBR,Gold
1912,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Gold
1920,Summer,Tennis,"Singles, Women (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Gold
1920,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
1920,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Silver
1920,Summer,Tennis,"Doubles, Women (Olympic)",GBR,Gold
1924,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
1912,Summer,Tennis,"Singles, Covered Courts, Women (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Singles, Women (Olympic)",GBR,Bronze
2000,Summer,Badminton,"Doubles, Mixed (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Doubles, Covered Courts, Men (Olympic)",GBR,Gold
1912,Summer,Tennis,"Doubles, Covered Courts, Men (Olympic)",GBR,Bronze
1896,Summer,Tennis,"Singles, Men (Olympic)",GBR,Gold
1896,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Gold
1996,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",GBR,Silver
1908,Summer,Tennis,"Doubles, Covered Courts, Men (Olympic)",GBR,Silver
1908,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Bronze
1912,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",GBR,Silver
1900,Summer,Tennis,"Singles, Men (Olympic)",GBR,Gold
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Bronze
1900,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Gold
1900,Summer,Tennis,"Singles, Men (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Gold
1908,Summer,Tennis,"Singles, Men (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",GBR,Gold
1900,Summer,Tennis,"Singles, Men (Olympic)",GBR,Silver
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",GBR,Silver
1900,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Bronze
1908,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Silver
1908,Summer,Tennis,"Singles, Men (Olympic)",GBR,Gold
1908,Summer,Tennis,"Singles, Covered Courts, Men (Olympic)",GBR,Bronze
1920,Summer,Tennis,"Doubles, Men (Olympic)",GBR,Gold
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",FRA,Bronze
1988,Summer,Tennis,"Singles, Women (Olympic)",FRG,Gold
1988,Summer,Tennis,"Doubles, Women (Olympic)",FRG,Bronze
1992,Summer,Tennis,"Singles, Women (Olympic)",GER,Silver
1912,Summer,Tennis,"Singles, Women (Olympic)",GER,Silver
1912,Summer,Tennis,"Doubles, Mixed (Olympic)",GER,Gold
1992,Summer,Tennis,"Doubles, Men (Olympic)",GER,Gold
1992,Summer,Table Tennis,"Doubles, Men (Olympic)",GER,Silver
1908,Summer,Tennis,"Singles, Men (Olympic)",GER,Silver
1996,Summer,Tennis,"Doubles, Men (Olympic)",GER,Bronze
1912,Summer,Tennis,"Singles, Men (Olympic)",GER,Bronze
1996,Summer,Table Tennis,"Singles, Men (Olympic)",GER,Bronze
1896,Summer,Athletics,"Doubles, Men (Olympic)",GER,Gold
1896,Summer,Tennis,"Singles, Men (Olympic)",GRE,Silver
1896,Summer,Tennis,"Doubles, Men (Olympic)",GRE,Silver
1896,Summer,Tennis,"Singles, Men (Olympic)",GRE,Bronze
1924,Summer,Art Competitions,"Architecture, Open (Olympic)",HUN,Silver
1896,Summer,Tennis,"Singles, Men (Olympic)",HUN,Bronze
1992,Summer,Badminton,"Singles, Women (Olympic)",INA,Gold
1996,Summer,Badminton,"Singles, Women (Olympic)",INA,Bronze
2000,Summer,Badminton,"Doubles, Mixed (Olympic)",INA,Silver
1996,Summer,Badminton,"Singles, Women (Olympic)",INA,Silver
2004,Summer,Badminton,"Singles, Women (Olympic)",NED,Silver
1996,Summer,Badminton,"Doubles, Men (Olympic)",INA,Bronze
1992,Summer,Badminton,"Doubles, Men (Olympic)",INA,Silver
1992,Summer,Badminton,"Singles, Men (Olympic)",INA,Gold
2004,Summer,Badminton,"Doubles, Men (Olympic)",INA,Bronze
1996,Summer,Badminton,"Doubles, Men (Olympic)",INA,Gold
1992,Summer,Badminton,"Singles, Men (Olympic)",INA,Bronze
1992,Summer,Badminton,"Singles, Men (Olympic)",INA,Silver
1996,Summer,Tennis,"Singles, Men (Olympic)",IND,Bronze
2000,Summer,Archery,"Individual, Men (Olympic)",AUS,Gold
1920,Summer,Archery,"Target Archery, 28 metres, Team, Men (Olympic)",BEL,Silver
1920,Summer,Archery,"Target Archery, 33 metres, Team, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Target Archery, 50 metres, Team, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Pole Archery, Large Birds, Individual, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Pole Archery, Small Birds, Team, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Pole Archery, Large Birds, Team, Men (Olympic)",BEL,Gold
1900,Summer,Archery,"Sur La Perche À La Herse, Men (Olympic)",BEL,Bronze
1920,Summer,Archery,"Pole Archery, Large Birds, Individual, Men (Olympic)",BEL,Bronze
1900,Summer,Archery,"Sur La Perche À La Herse, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Pole Archery, Small Birds, Individual, Men (Olympic)",BEL,Bronze
1920,Summer,Archery,"Pole Archery, Small Birds, Individual, Men (Olympic)",BEL,Silver
1920,Summer,Archery,"Pole Archery, Large Birds, Individual, Men (Olympic)",BEL,Silver
1900,Summer,Archery,"Au Chapelet, 33 metres, Men (Olympic)",BEL,Gold
1900,Summer,Archery,"Au Cordon Doré, 33 metres, Men (Olympic)",BEL,Gold
1900,Summer,Archery,"Au Cordon Doré, 50 metres, Men (Olympic)",BEL,Silver
1900,Summer,Archery,"Championnat Du Monde, Men (Olympic)",BEL,Silver
1920,Summer,Archery,"Target Archery, 28 metres, Individual, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Target Archery, 33 metres, Individual, Men (Olympic)",BEL,Gold
1920,Summer,Archery,"Target Archery, 50 metres, Individual, Men (Olympic)",BEL,Silver
1920,Summer,Archery,"Pole Archery, Small Birds, Individual, Men (Olympic)",BEL,Gold
1996,Summer,Archery,"Individual, Women (Olympic)",CHN,Silver
2004,Summer,Archery,"Team, Women (Olympic)",CHN,Silver
1984,Summer,Archery,"Individual, Women (Olympic)",CHN,Silver
1992,Summer,Archery,"Team, Women (Olympic)",CHN,Silver
1992,Summer,Archery,"Team, Men (Olympic)",ESP,Gold
1980,Summer,Archery,"Individual, Women (Olympic)",FIN,Bronze
1992,Summer,Archery,"Team, Men (Olympic)",FIN,Silver
1972,Summer,Archery,"Individual, Men (Olympic)",FIN,Bronze
1980,Summer,Archery,"Individual, Men (Olympic)",FIN,Gold
1920,Summer,Archery,"Target Archery, 33 metres, Individual, Men (Olympic)",FRA,Silver
1920,Summer,Archery,"Target Archery, 50 metres, Individual, Men (Olympic)",FRA,Gold
1920,Summer,Archery,"Target Archery, 28 metres, Team, Men (Olympic)",FRA,Bronze
1920,Summer,Archery,"Target Archery, 33 metres, Team, Men (Olympic)",FRA,Silver
1920,Summer,Archery,"Target Archery, 50 metres, Team, Men (Olympic)",FRA,Silver
1908,Summer,Archery,"Continental Style, Men (Olympic)",FRA,Bronze
1900,Summer,Archery,"Au Cordon Doré, 50 metres, Men (Olympic)",FRA,Bronze
1992,Summer,Archery,"Individual, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Sur La Perche À La Pyramide, Men (Olympic)",BEL,Bronze
1908,Summer,Archery,"Continental Style, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Sur La Perche À La Pyramide, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Au Chapelet, 50 metres, Men (Olympic)",FRA,Silver
1900,Summer,Archery,"Au Cordon Doré, 50 metres, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Championnat Du Monde, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Au Chapelet, 50 metres, Men (Olympic)",FRA,Bronze
1900,Summer,Archery,"Au Chapelet, 50 metres, Men (Olympic)",FRA,Gold
1900,Summer,Archery,"Au Chapelet, 33 metres, Men (Olympic)",FRA,Bronze
1900,Summer,Archery,"Au Cordon Doré, 33 metres, Men (Olympic)",FRA,Bronze
1920,Summer,Archery,"Target Archery, 28 metres, Individual, Men (Olympic)",FRA,Silver
1900,Summer,Archery,"Sur La Perche À La Herse, Men (Olympic)",FRA,Silver
1900,Summer,Archery,"Sur La Perche À La Pyramide, Men (Olympic)",FRA,Silver
1900,Summer,Archery,"Au Chapelet, 33 metres, Men (Olympic)",FRA,Silver
1900,Summer,Archery,"Au Cordon Doré, 33 metres, Men (Olympic)",FRA,Silver
1908,Summer,Archery,"Continental Style, Men (Olympic)",FRA,Silver
1992,Summer,Archery,"Team, Women (Olympic)",EUN,Bronze
1996,Summer,Archery,"Team, Women (Olympic)",GER,Silver
2000,Summer,Archery,"Team, Women (Olympic)",GER,Bronze
1908,Summer,Archery,"Double National Round, Women (Olympic)",GBR,Silver
1908,Summer,Archery,"Double National Round, Women (Olympic)",GBR,Bronze
1908,Summer,Archery,"Double National Round, Women (Olympic)",GBR,Gold
2004,Summer,Archery,"Individual, Women (Olympic)",GBR,Bronze
1908,Summer,Archery,"Double York Round, Men (Olympic)",GBR,Silver
1908,Summer,Archery,"Double York Round, Men (Olympic)",GBR,Gold
1988,Summer,Archery,"Team, Men (Olympic)",GBR,Bronze
1992,Summer,Archery,"Team, Men (Olympic)",GBR,Bronze
1992,Summer,Archery,"Individual, Men (Olympic)",GBR,Bronze
1992,Summer,Tennis,"Doubles, Women (Olympic)",AUS,Bronze
1988,Summer,Tennis,"Doubles, Women (Olympic)",AUS,Bronze
1896,Summer,Athletics,"800 metres, Men (Olympic)",AUS,Gold
1896,Summer,Athletics,"1,500 metres, Men (Olympic)",AUS,Gold
1896,Summer,Athletics,"Doubles, Men (Olympic)",AUS,Bronze
1996,Summer,Tennis,"Doubles, Men (Olympic)",AUS,Gold
2000,Summer,Tennis,"Doubles, Men (Olympic)",AUS,Silver
1912,Summer,Tennis,"Doubles, Men (Olympic)",AUT,Silver
2000,Summer,Tennis,"Doubles, Women (Olympic)",BEL,Bronze
1992,Summer,Tennis,"Doubles, Women (Olympic)",EUN,Bronze
1900,Summer,Tennis,"Singles, Women (Olympic)",BOH,Bronze
1900,Summer,Tennis,"Doubles, Mixed (Olympic)",BOH,Bronze
2000,Summer,Tennis,"Doubles, Men (Olympic)",CAN,Gold
1988,Summer,Table Tennis,"Singles, Women (Olympic)",CHN,Gold
1988,Summer,Table Tennis,"Doubles, Women (Olympic)",CHN,Silver
1996,Summer,Table Tennis,"Singles, Women (Olympic)",TPE,Silver
2000,Summer,Table Tennis,"Singles, Women (Olympic)",TPE,Bronze
1992,Summer,Table Tennis,"Doubles, Women (Olympic)",CHN,Silver
1992,Summer,Table Tennis,"Singles, Women (Olympic)",CHN,Gold
1992,Summer,Table Tennis,"Doubles, Women (Olympic)",CHN,Gold
1996,Summer,Table Tennis,"Singles, Women (Olympic)",CHN,Gold
1996,Summer,Table Tennis,"Doubles, Women (Olympic)",CHN,Gold
1996,Summer,Badminton,"Doubles, Women (Olympic)",CHN,Gold
2000,Summer,Badminton,"Doubles, Women (Olympic)",CHN,Gold
1992,Summer,Badminton,"Doubles, Women (Olympic)",CHN,Silver
1992,Summer,Badminton,"Singles, Women (Olympic)",CHN,Bronze
1924,Summer,Tennis,"Singles, Men (Olympic)",ITA,Bronze
1920,Summer,Tennis,"Doubles, Men (Olympic)",JPN,Silver
1920,Summer,Tennis,"Singles, Men (Olympic)",JPN,Silver
1992,Summer,Badminton,"Singles, Women (Olympic)",KOR,Silver
1996,Summer,Badminton,"Singles, Women (Olympic)",KOR,Gold
1992,Summer,Badminton,"Doubles, Women (Olympic)",KOR,Gold
1992,Summer,Badminton,"Doubles, Women (Olympic)",KOR,Bronze
1996,Summer,Badminton,"Doubles, Mixed (Olympic)",KOR,Gold
1996,Summer,Badminton,"Doubles, Women (Olympic)",KOR,Silver
1992,Summer,Table Tennis,"Doubles, Women (Olympic)",KOR,Bronze
1988,Summer,Table Tennis,"Doubles, Women (Olympic)",KOR,Gold
1992,Summer,Table Tennis,"Singles, Women (Olympic)",KOR,Bronze
2000,Summer,Table Tennis,"Doubles, Women (Olympic)",KOR,Bronze
1996,Summer,Table Tennis,"Doubles, Women (Olympic)",KOR,Bronze
1996,Summer,Badminton,"Doubles, Mixed (Olympic)",KOR,Silver
2004,Summer,Badminton,"Doubles, Women (Olympic)",KOR,Bronze
1988,Summer,Table Tennis,"Doubles, Men (Olympic)",KOR,Bronze
2000,Summer,Badminton,"Doubles, Men (Olympic)",KOR,Bronze
2004,Summer,Badminton,"Doubles, Men (Olympic)",KOR,Gold
1992,Summer,Table Tennis,"Doubles, Men (Olympic)",KOR,Bronze
1992,Summer,Badminton,"Doubles, Men (Olympic)",KOR,Gold
1988,Summer,Table Tennis,"Singles, Men (Olympic)",KOR,Silver
1992,Summer,Table Tennis,"Singles, Men (Olympic)",KOR,Bronze
1996,Summer,Table Tennis,"Doubles, Men (Olympic)",KOR,Bronze
2000,Summer,Badminton,"Doubles, Men (Olympic)",KOR,Silver
2004,Summer,Badminton,"Doubles, Men (Olympic)",KOR,Silver
1988,Summer,Table Tennis,"Singles, Men (Olympic)",KOR,Gold
1996,Summer,Badminton,"Doubles, Men (Olympic)",MAS,Silver
1992,Summer,Badminton,"Doubles, Men (Olympic)",MAS,Bronze
1996,Summer,Badminton,"Singles, Men (Olympic)",MAS,Bronze
1924,Summer,Tennis,"Doubles, Mixed (Olympic)",NED,Bronze
1912,Summer,Tennis,"Singles, Women (Olympic)",NOR,Bronze
1976,Summer,Boxing,"Light-Welterweight, Men (Olympic)",BUL,Bronze
1972,Summer,Boxing,"Flyweight, Men (Olympic)",BUL,Gold
1980,Summer,Boxing,"Flyweight, Men (Olympic)",BUL,Gold
1968,Summer,Boxing,"Featherweight, Men (Olympic)",BUL,Bronze
1964,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",BUL,Bronze
1952,Summer,Boxing,"Middleweight, Men (Olympic)",BUL,Bronze
1992,Summer,Boxing,"Super-Heavyweight, Men (Olympic)",BUL,Bronze
1968,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",BUL,Bronze
1996,Summer,Boxing,"Featherweight, Men (Olympic)",BUL,Silver
1996,Summer,Boxing,"Lightweight, Men (Olympic)",BUL,Silver
1996,Summer,Boxing,"Heavyweight, Men (Olympic)",CAN,Silver
1984,Summer,Boxing,"Heavyweight, Men (Olympic)",CAN,Silver
1988,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CAN,Bronze
1920,Summer,Boxing,"Bantamweight, Men (Olympic)",CAN,Silver
1932,Summer,Boxing,"Bantamweight, Men (Olympic)",CAN,Gold
1920,Summer,Boxing,"Middleweight, Men (Olympic)",CAN,Bronze
1992,Summer,Boxing,"Middleweight, Men (Olympic)",CAN,Bronze
1992,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CAN,Silver
1924,Summer,Boxing,"Welterweight, Men (Olympic)",CAN,Bronze
1988,Summer,Boxing,"Super-Heavyweight, Men (Olympic)",CAN,Gold
1988,Summer,Boxing,"Middleweight, Men (Olympic)",CAN,Silver
1920,Summer,Boxing,"Lightweight, Men (Olympic)",CAN,Bronze
1984,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CAN,Silver
1920,Summer,Boxing,"Middleweight, Men (Olympic)",CAN,Silver
1920,Summer,Boxing,"Welterweight, Men (Olympic)",CAN,Gold
1928,Summer,Boxing,"Welterweight, Men (Olympic)",CAN,Bronze
1984,Summer,Boxing,"Bantamweight, Men (Olympic)",CAN,Bronze
1956,Summer,Boxing,"Bantamweight, Men (Olympic)",CHI,Bronze
1956,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",CHI,Bronze
1956,Summer,Boxing,"Middleweight, Men (Olympic)",CHI,Silver
1968,Summer,Boxing,"Welterweight, Men (Olympic)",CMR,Silver
1984,Summer,Boxing,"Lightweight, Men (Olympic)",CMR,Bronze
1988,Summer,Boxing,"Bantamweight, Men (Olympic)",COL,Bronze
1972,Summer,Boxing,"Lightweight, Men (Olympic)",COL,Bronze
1996,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",USA,Gold
2000,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",USA,Gold
2004,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",USA,Gold
2008,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",USA,Silver
1996,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",AUS,Bronze
2000,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",AUS,Bronze
1996,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",CHN,Silver
2004,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",AUS,Silver
2008,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",AUS,Bronze
2000,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",JPN,Silver
2004,Summer,Softball (Baseball/Softball),"Softball, Women (Olympic)",JPN,Bronze
2004,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",AUS,Silver
1992,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",CUB,Gold
1996,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",CUB,Gold
2000,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",CUB,Silver
2004,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",CUB,Gold
2008,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",CUB,Silver
1996,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",JPN,Silver
2004,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",JPN,Bronze
1992,Summer,Baseball (Baseball/Softball),"Baseball, Men (Olympic)",JPN,Bronze
1972,Summer,Boxing,"Featherweight, Men (Olympic)",COL,Bronze
1980,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CUB,Bronze
1976,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CUB,Silver
1980,Summer,Boxing,"Welterweight, Men (Olympic)",CUB,Gold
2004,Summer,Boxing,"Welterweight, Men (Olympic)",CUB,Silver
1992,Summer,Boxing,"Super-Heavyweight, Men (Olympic)",CUB,Gold
1972,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",CUB,Silver
1992,Summer,Boxing,"Bantamweight, Men (Olympic)",CUB,Gold
1972,Summer,Boxing,"Welterweight, Men (Olympic)",CUB,Gold
1976,Summer,Boxing,"Flyweight, Men (Olympic)",CUB,Silver
1996,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CUB,Silver
1968,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CUB,Silver
1976,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CUB,Bronze
1980,Summer,Boxing,"Middleweight, Men (Olympic)",CUB,Gold
1992,Summer,Boxing,"Flyweight, Men (Olympic)",CUB,Silver
1992,Summer,Boxing,"Middleweight, Men (Olympic)",CUB,Gold
1996,Summer,Boxing,"Middleweight, Men (Olympic)",CUB,Gold
1976,Summer,Boxing,"Light-Flyweight, Men (Olympic)",CUB,Gold
1980,Summer,Boxing,"Bantamweight, Men (Olympic)",CUB,Gold
1992,Summer,Boxing,"Welterweight, Men (Olympic)",CUB,Silver
1996,Summer,Boxing,"Welterweight, Men (Olympic)",CUB,Silver
1976,Summer,Boxing,"Featherweight, Men (Olympic)",CUB,Gold
1980,Summer,Boxing,"Lightweight, Men (Olympic)",CUB,Gold
1980,Summer,Boxing,"Featherweight, Men (Olympic)",CUB,Silver
1992,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CUB,Gold
1992,Summer,Boxing,"Light-Flyweight, Men (Olympic)",CUB,Gold
1980,Summer,Boxing,"Light-Middleweight, Men (Olympic)",CUB,Gold
1972,Summer,Boxing,"Bantamweight, Men (Olympic)",CUB,Gold
1976,Summer,Boxing,"Middleweight, Men (Olympic)",CUB,Bronze
1996,Summer,Boxing,"Bantamweight, Men (Olympic)",CUB,Silver
1980,Summer,Boxing,"Light-Flyweight, Men (Olympic)",CUB,Silver
1968,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CUB,Silver
1972,Summer,Boxing,"Flyweight, Men (Olympic)",CUB,Bronze
1980,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",CUB,Bronze
1996,Summer,Boxing,"Flyweight, Men (Olympic)",CUB,Gold
2000,Summer,Boxing,"Light-Flyweight, Men (Olympic)",CUB,Bronze
1992,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
1996,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
2000,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
1976,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",CUB,Silver
1972,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
1976,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
1980,Summer,Boxing,"Heavyweight, Men (Olympic)",CUB,Gold
1992,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CUB,Gold
1996,Summer,Boxing,"Light-Welterweight, Men (Olympic)",CUB,Gold
1920,Summer,Boxing,"Lightweight, Men (Olympic)",DEN,Silver
1932,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",DEN,Bronze
1952,Summer,Boxing,"Welterweight, Men (Olympic)",DEN,Bronze
1928,Summer,Boxing,"Heavyweight, Men (Olympic)",DEN,Bronze
1992,Summer,Boxing,"Super-Heavyweight, Men (Olympic)",DEN,Bronze
1924,Summer,Boxing,"Lightweight, Men (Olympic)",DEN,Gold
1920,Summer,Boxing,"Flyweight, Men (Olympic)",DEN,Silver
1936,Summer,Boxing,"Welterweight, Men (Olympic)",DEN,Bronze
1920,Summer,Boxing,"Heavyweight, Men (Olympic)",DEN,Silver
1924,Summer,Boxing,"Heavyweight, Men (Olympic)",DEN,Silver
1924,Summer,Boxing,"Light-Heavyweight, Men (Olympic)",DEN,Silver
1948,Summer,Boxing,"Lightweight, Men (Olympic)",DEN,Bronze
1984,Summer,Boxing,"Bantamweight, Men (Olympic)",DOM,Bronze
1960,Summer,Boxing,"Flyweight, Men (Olympic)",UAR,Bronze
1988,Summer,Archery,"Team, Women (Olympic)",INA,Silver
1996,Summer,Archery,"Team, Men (Olympic)",ITA,Bronze
2000,Summer,Archery,"Team, Men (Olympic)",ITA,Silver
2008,Summer,Archery,"Team, Men (Olympic)",ITA,Silver
1976,Summer,Archery,"Individual, Men (Olympic)",ITA,Bronze
1980,Summer,Archery,"Individual, Men (Olympic)",ITA,Bronze
2012,Summer,Archery,"Team, Men (Olympic)",ITA,Gold
1976,Summer,Archery,"Individual, Men (Olympic)",JPN,Silver
1984,Summer,Archery,"Individual, Men (Olympic)",JPN,Bronze
2004,Summer,Archery,"Individual, Men (Olympic)",JPN,Silver
1992,Summer,Archery,"Individual, Women (Olympic)",KOR,Gold
1992,Summer,Archery,"Team, Women (Olympic)",KOR,Gold
1984,Summer,Archery,"Individual, Women (Olympic)",KOR,Bronze
1996,Summer,Archery,"Team, Women (Olympic)",KOR,Gold
1996,Summer,Archery,"Individual, Women (Olympic)",KOR,Gold
1988,Summer,Archery,"Individual, Women (Olympic)",KOR,Gold
1988,Summer,Archery,"Team, Women (Olympic)",KOR,Gold
1992,Summer,Archery,"Individual, Women (Olympic)",KOR,Silver
2000,Summer,Archery,"Individual, Women (Olympic)",KOR,Bronze
2000,Summer,Archery,"Team, Women (Olympic)",KOR,Gold
1984,Summer,Archery,"Individual, Women (Olympic)",KOR,Gold
1988,Summer,Archery,"Individual, Women (Olympic)",KOR,Silver
1988,Summer,Archery,"Individual, Women (Olympic)",KOR,Bronze
1988,Summer,Archery,"Team, Men (Olympic)",KOR,Gold
1992,Summer,Archery,"Individual, Men (Olympic)",KOR,Silver
1996,Summer,Archery,"Team, Men (Olympic)",KOR,Silver
2000,Summer,Archery,"Team, Men (Olympic)",KOR,Gold
2004,Summer,Archery,"Team, Men (Olympic)",KOR,Gold
1996,Summer,Archery,"Individual, Men (Olympic)",KOR,Bronze
1988,Summer,Archery,"Individual, Men (Olympic)",KOR,Silver
1992,Summer,Archery,"Individual, Women (Olympic)",EUN,Bronze
1920,Summer,Archery,"Target Archery, 28 metres, Team, Men (Olympic)",NED,Gold
1996,Summer,Archery,"Team, Women (Olympic)",POL,Bronze
1972,Summer,Archery,"Individual, Women (Olympic)",POL,Silver
2008,Summer,Archery,"Individual, Men (Olympic)",RUS,Bronze
1972,Summer,Archery,"Individual, Men (Olympic)",SWE,Silver
1996,Summer,Archery,"Individual, Men (Olympic)",SWE,Silver
1996,Summer,Archery,"Individual, Women (Olympic)",UKR,Bronze
2000,Summer,Archery,"Team, Women (Olympic)",UKR,Silver
1980,Summer,Archery,"Individual, Women (Olympic)",URS,Silver
1972,Summer,Archery,"Individual, Women (Olympic)",URS,Bronze
1976,Summer,Archery,"Individual, Women (Olympic)",URS,Silver
1980,Summer,Archery,"Individual, Women (Olympic)",URS,Gold
1976,Summer,Archery,"Individual, Women (Olympic)",URS,Bronze
1988,Summer,Archery,"Individual, Men (Olympic)",URS,Bronze
1980,Summer,Archery,"Individual, Men (Olympic)",URS,Silver
1904,Summer,Archery,"Double Columbia Round, Women (Olympic)",USA,Silver
1904,Summer,Archery,"Double National Round, Women (Olympic)",USA,Silver
1904,Summer,Archery,"Double Columbia Round, Women (Olympic)",USA,Gold
1904,Summer,Archery,"Double National Round, Women (Olympic)",USA,Gold
1904,Summer,Archery,"Team Round, Women (Olympic)",USA,Gold
1988,Summer,Archery,"Team, Women (Olympic)",USA,Bronze
